Platform,,Meta,Meta,Meta,Meta,Meta,Meta,LMS,FFH Sheet,FFH Sheet,Fornula,Fornula,FFH Sheet,Formula,Formula,Formula,Formula,FFH Sheet
Platform,Type,Account,Date,Campaign,Ad Name,Spends,Pannel_Lead,Lead_LMS,FFH,Adm,CPL Pannel,CPL LMS,Invoicing_Var,CAC FFH,CAC Adm,CAC / ARPU,Lead Dup,Total_Var
Meta Ads,,FaceBook_University_Admit,2025-12-08,NMIMS_University_MBA_AU,NMIMS_University_MBA_AU_A02,291.96,1,1,0,0,292,292,0,-,-,-,0%,0
Meta Ads,,FaceBook_University_Admit,2025-12-08,Online_UG_PG_Degree_Admission,Online_UG_PG_Online_Admission,524.61,15,16,0,0,35,33,0,-,-,-,-7%,0
Meta Ads,,FaceBook_University_Admit,2025-12-09,Galgotias_University_2026_AU,Galgotias_University_2026_AU_A02,363.95,10,10,0,0,36,36,0,-,-,-,0%,0
Meta Ads,,FaceBook_University_Admit,2025-12-09,IGNOU_MBA_27th _Aug,IGNOU_MBA - v2Ad2,430.88,7,5,0,0,62,86,0,-,-,-,29%,0
Meta Ads,,FaceBook_University_Admit,2025-12-09,IGNOU_MBA_27th _Aug,IGNOU_MBA_27thAug_V2,185.63,1,1,0,0,186,186,0,-,-,-,0%,0
Meta Ads,,FaceBook_University_Admit,2025-12-09,NMIMS_University_MBA_AU,NMIMS_University_MBA_AU_A01,241.51,1,0,0,0,242,242,0,-,-,-,100%,0
Meta Ads,,FaceBook_University_Admit,2025-12-09,NMIMS_University_MBA_AU,NMIMS_University_MBA_AU_A02,116.35,1,0,0,0,116,116,0,-,-,-,100%,0
Meta Ads,,FaceBook_University_Admit,2025-12-09,Online_UG_PG_Degree_Admission,Online_UG_PG_Online_Admission,499.33,14,13,0,0,36,38,0,-,-,-,7%,0
Meta Ads,,FaceBook_University_Admit,2025-12-10,Galgotias_University_2026_AU,Galgotias_University_2026_AU_A02,202.12,7,7,0,0,29,29,0,-,-,-,0%,0
Meta Ads,,FaceBook_University_Admit,2025-12-10,IGNOU_MBA_27th _Aug,IGNOU_MBA - v2Ad2,334.18,1,2,0,0,334,167,0,-,-,-,-100%,0
Meta Ads,,FaceBook_University_Admit,2025-12-10,IGNOU_MBA_27th _Aug,IGNOU_MBA_27thAug_V2,21.09,1,1,0,0,21,21,0,-,-,-,0%,0
Meta Ads,,FaceBook_University_Admit,2025-12-10,IIIM_Online_Admission-AU,IIIM_Online_Admission-AU_AdG1_Ad1,119.34,5,5,0,0,24,24,0,-,-,-,0%,0
