Date,Account,Ad Name,Meta Spend,Sheet Spend,Meta Panel,Sheet Panel,LMS Actual,Sheet LMS,Status
2026-05-04,Degreefyd_B,CU_Lucknow_Rem_Ad02,10.45,10.45,1,1.0,0,1.0,MATCH
2026-05-04,Degreefyd_B,CU_Lucknow_Int_ADG1_Ad01,590.33,589.75,6,6.0,0,6.0,MATCH
2026-05-04,Degreefyd_B,UG_Online_Admission_SF_Ad_Set01_Ad01,71.38,71.38,0,0.0,0,3.0,MATCH
2026-05-04,Degreefyd_B,UG_Online_Admission_SF_Ad_Set01_Ad02,398.7,398.7,9,3.0,0,3.0,DISCREPANCY
2026-05-04,Degreefyd_B,CU_Mohali_Int_ADG1_Ad02,38.04,38.04,0,0.0,0,0.0,MATCH
2026-05-04,Degreefyd_B,CU_Mohali_Int_ADG1_Ad01,391.47,390.23,9,7.0,0,7.0,DISCREPANCY
2026-05-04,Degreefyd_B,CU_Mohali_Rem_ADG1_Ad01,260.97,260.96,1,1.0,0,1.0,MATCH
2026-05-04,Degreefyd_B,CU_Mohali_Rem_ADG1_Ad02,4.56,4.56,0,0.0,0,0.0,MATCH
2026-05-04,DegreeFYD,LPU_University_Punjab_April_Ad1,0.0,0.0,0,0.0,0,0.0,MISSING
2026-05-04,DegreeFYD,Ignou_Online_MBA_SF_Ad1,300.78,300.78,6,2.0,0,0.0,DISCREPANCY
2026-05-04,DegreeFYD,IGNOU_ONLINE_Degree_CR1,382.2,382.13,21,7.0,0,4.0,DISCREPANCY
2026-05-04,DegreeFYD,Online_MBA_SF_G1_CR1,36.05,36.05,3,1.0,0,0.0,DISCREPANCY
2026-05-04,DegreeFYD,Online_MBA_SF_G1_CR2,177.91,177.91,9,3.0,0,0.0,DISCREPANCY
2026-05-04,DegreeFYD,CGC_Landran_UG&PG_CR1,28.41,28.36,0,0.0,0,0.0,MATCH
2026-05-04,DegreeFYD,CGC_BTECH_REGU_SF_CR2,256.51,256.51,0,0.0,0,3.0,MATCH
2026-05-04,DegreeFYD,CGC_BTECH_REGU_Rem_SF_AD_01,188.92,188.86,0,0.0,0,1.0,MATCH
2026-05-04,DegreeFYD,CGC_Landran_UG&PG_SF_CR2,304.03,304.03,0,0.0,0,0.0,MATCH
2026-05-04,DegreeFYD,Online_UG&PG_SF_CR1,65.06,65.06,0,0.0,0,0.0,MATCH
2026-05-04,DegreeFYD,Online_BBA_SF_ASH_CR1,137.14,137.14,0,0.0,0,0.0,MATCH
2026-05-04,DegreeFYD,Online_UG&PG_SF_CR2,141.23,141.23,0,0.0,0,0.0,MATCH
2026-05-04,DegreeFYD,Online_UG_Video_SF_VD1,51.61,51.61,0,0.0,0,0.0,MATCH
